NEW,,20240516_20240516085641_22_1,MENO,EDFP,20240516T000000,20240516FIRMB1,SNAV1,20240516 085641.941,true,false,20240516 085641.941,,,A,false,,B,0.05,100,,LMT,DAY=20240516,PREREG,,false,F123,A,false,,,false,N,
NEW,,20240517_20240517031613_22_2,MEOM,EDFP,20240517T000000,20240517FIRMB6,SNAV1,20240516T000000,20240516FIRMB1,,20240517 031613.804,true,,,false,20240517 031613.804,,,,,20240517 031613.804,,,,F,B,0.05,100,,61,LMT,GTC,PREREG,NA,,false,,,N,
new,data,to,insert
NEW,,20240517_20240517055902_22_3,MEOR,EDFP,20240517T000000,20240517FIRMB6,SNAV1,,20240517 055902.860,true,false,20240517 055902.860,161014:EDFP,,F,,,B,0.05,2,,LMT,GTC,PREREG,false,NA,,false,false,,false,,,,,
NEW,,20240517_20240517060038_22_4,MEOR,EDFP,20240517T000000,20240517FIRMB6,SNAV1,,20240517 060038.780,true,false,20240517 060038.780,161014:EDFP,,F,,,B,0.05,5,,LMT,GTC,PREREG,false,NA,,false,false,,false,,,,,
NEW,,20240517_20240517063107_22_5,MEOR,EDFP,20240517T000000,20240517FIRMB6,SNAV1,,20240517 063107.631,true,false,20240517 063107.631,161014:EDFP,,F,,,B,0.05,3,,LMT,GTC,PREREG,false,NA,,false,false,,false,,,,,
NEW,,20240516_20240516085716_23_1,MENO,EDFP,20240516T000000,20240516FIRMB2,SNAV2,20240516 085716.649,true,false,20240516 085716.649,,,A,false,,B,0.03,120,,LMT,DAY=20240516,PREREG,,false,F123,A,false,,,false,N,
NEW,,20240517_20240517004241_25_1,MENO,EDFP,20240517T000000,20240517FIRMB1,NAV1D2,20240517 004241.043,true,false,20240517 004241.043,,,A,false,,B,0.06,34,,LMT,DAY=20240517,PREREG,,false,F123,A,false,,,false,N,
NEW,,20240517_20240517004327_26_1,MENO,EDFP,20240517T000000,20240517FIRMB2,NAV2D2,20240517 004327.060,true,false,20240517 004327.060,,,A,false,,B,0.08,45,,LMT,DAY=20240517,PREREG,,false,F123,A,false,,,false,N,
NEW,,20240517_20240517004417_27_1,MENO,EDFP,20240517T000000,20240517FIRMB3,NAV3D2,20240517 004417.218,true,false,20240517 004417.218,,,A,false,,B,0.12,23,,LMT,GTC,PREREG,,false,F123,A,false,,,false,N,
